Date,Open,High,Low,Close,Adj Close,Volume,Percentage Change
2023-01-10,143.610001,144.850006,142.899994,144.800003,137.948761,2152100,0.83
2023-01-11,145.000000,145.529999,143.449997,145.259995,138.386993,3268700,0.18
2023-01-12,144.880005,146.660004,144.520004,145.550003,138.663269,2715900,0.46
2023-01-13,144.059998,146.100006,144.009995,145.889999,138.987198,2455700,1.27
2023-01-17,146.419998,147.179993,145.009995,145.190002,138.320282,2986500,-0.84
2023-01-18,144.399994,144.679993,140.229996,140.410004,133.766449,6445600,-2.76
2023-01-19,140.000000,142.229996,139.750000,140.619995,133.966522,4833900,0.44
2023-01-20,141.669998,141.860001,140.509995,141.199997,134.519073,7153300,-0.33
2023-01-23,141.399994,142.990005,141.059998,141.860001,135.147858,5898400,0.33
2023-01-24,141.250000,142.750000,140.000000,141.490005,134.795364,4407600,0.17
2023-01-25,140.470001,141.029999,139.360001,140.759995,134.099915,7347500,0.21
2023-01-26,137.529999,138.270004,132.979996,134.449997,128.088470,17548500,-2.24
2023-01-27,134.440002,135.490005,133.770004,134.389999,128.031326,8143100,-0.04
2023-01-30,134.320007,136.110001,133.979996,135.300003,128.898239,5375700,0.73
2023-01-31,135.500000,135.649994,133.759995,134.729996,128.355209,7206400,-0.57
2023-02-01,134.490005,135.789993,132.800003,135.089996,128.698181,5428900,0.45
2023-02-02,135.960007,136.720001,134.850006,136.389999,129.936661,6107800,0.32
2023-02-03,136.350006,136.949997,135.529999,136.940002,130.460648,3755700,0.43
2023-02-06,135.830002,136.320007,134.949997,136.179993,129.736603,4841300,0.26
2023-02-07,135.669998,136.399994,134.449997,135.839996,129.412689,3737600,0.13
2023-02-08,135.710007,136.740005,135.160004,135.979996,129.546082,4593700,0.20
2023-02-09,134.990005,135.729996,133.339996,133.750000,128.986725,3918800,-0.92
2023-02-10,133.779999,135.770004,133.500000,135.600006,130.770859,5049600,1.36
2023-02-13,136.000000,137.389999,135.850006,137.350006,132.458527,4403000,0.99
2023-02-14,137.050003,137.240005,135.050003,136.009995,131.166229,3202200,-0.76
2023-02-15,135.199997,136.449997,135.070007,136.399994,131.542358,2506700,0.89
2023-02-16,135.570007,135.970001,134.589996,135.000000,130.192215,2965500,-0.42
2023-02-17,134.500000,135.580002,133.889999,135.020004,130.211502,3466200,0.39
2023-02-21,134.000000,134.389999,131.660004,131.710007,127.019386,4257200,-1.71
2023-02-22,131.899994,131.990005,130.289993,130.970001,126.305740,3200200,-0.71
2023-02-23,131.500000,131.699997,128.860001,130.789993,126.132133,3725600,-0.54
